
CommandType     Name                                               Version
Function        Add-NetEventPacketCaptureProvider                  1.0.0.0 
Function        Add-NetEventProvider                               1.0.0.0 
Function        Add-NetEventVFPProvider                            1.0.0.0 
Function        Add-NetEventVmNetworkAdapter                       1.0.0.0 
Function        Add-NetEventVmSwitch                               1.0.0.0 
Function        Add-NetEventVmSwitchProvider                       1.0.0.0 
Function        Add-NetEventWFPCaptureProvider                     1.0.0.0 
Function        Add-NetIPHttpsCertBinding                          1.0.0.0 
Function        Add-NetLbfoTeamMember                              2.0.0.0 
Function        Add-NetLbfoTeamNic                                 2.0.0.0 
Function        Add-NetNatExternalAddress                          1.0.0.0 
Function        Add-NetNatStaticMapping                            1.0.0.0 
Function        Add-NetSwitchTeamMember                            1.0.0.0 
Function        Add-OdbcDsn                                        1.0.0.0 
Function        Add-PartitionAccessPath                            2.0.0.0 
Function        Add-PhysicalDisk                                   2.0.0.0 
Function        Add-Printer                                        1.1     
Function        Add-PrinterDriver                                  1.1     
Function        Add-PrinterPort                                    1.1     
Function        Add-StorageFaultDomain                             2.0.0.0 
Function        Add-TargetPortToMaskingSet                         2.0.0.0 
Function        Add-VirtualDiskToMaskingSet                        2.0.0.0 
Function        Add-VMDirectVirtualDisk                            1.0.0.0 
Function        Add-VpnConnection                                  2.0.0.0 
Function        Add-VpnConnectionRoute                             2.0.0.0 
Function        Add-VpnConnectionTriggerApplication                2.0.0.0 
Function        Add-VpnConnectionTriggerDnsConfiguration           2.0.0.0 
Function        Add-VpnConnectionTriggerTrustedNetwork             2.0.0.0 
Function        AfterAll                                           3.4.0   
Function        AfterEach                                          3.4.0   
Function        Assert-MockCalled                                  3.4.0   
Function        Assert-VerifiableMocks                             3.4.0   
Function        B:                                                         
Function        Backup-BitLockerKeyProtector                       1.0.0.0 
Function        BackupToAAD-BitLockerKeyProtector                  1.0.0.0 
Function        BackupToMSA-BitLockerKeyProtector                  1.0.0.0 
Function        BeforeAll                                          3.4.0   
Function        BeforeEach                                         3.4.0   
Function        Block-FileShareAccess                              2.0.0.0 
Function        Block-SmbClientAccessToServer                      2.0.0.0 
Function        Block-SmbShareAccess                               2.0.0.0 
Function        C:                                                         
Function        cd..                                                       
Function        cd\                                                        
Function        cd~                                                        
Function        Clear-AssignedAccess                               1.0.0.0 
Function        Clear-BCCache                                      1.0.0.0 
Function        Clear-BitLockerAutoUnlock                          1.0.0.0 
Function        Clear-Disk                                         2.0.0.0 
Function        Clear-DnsClientCache                               1.0.0.0 
Function        Clear-FileStorageTier                              2.0.0.0 
Function        Clear-Host                                         0.2.0   
Function        Clear-PcsvDeviceLog                                1.0.0.0 
Function        Clear-StorageBusDisk                               1.0.0.0 
Function        Clear-StorageDiagnosticInfo                        2.0.0.0 
Function        Close-SmbOpenFile                                  2.0.0.0 
Function        Close-SmbSession                                   2.0.0.0 
Function        Compress-Archive                                   1.2.5   
Function        Compress-Archive                                   1.0.1.0 
Function        Configuration                                      1.1     
Function        Connect-IscsiTarget                                1.0.0.0 
Function        Connect-VirtualDisk                                2.0.0.0 
Function        Context                                            3.4.0   
Function        Convert-PhysicalDisk                               2.0.0.0 
Function        ConvertFrom-ScriptExtent                           0.2.0   
Function        ConvertTo-HgsKeyProtector                          1.0.0.0 
Function        ConvertTo-ScriptExtent                             0.2.0   
Function        Copy-NetFirewallRule                               2.0.0.0 
Function        Copy-NetIPsecMainModeCryptoSet                     2.0.0.0 
Function        Copy-NetIPsecMainModeRule                          2.0.0.0 
Function        Copy-NetIPsecPhase1AuthSet                         2.0.0.0 
Function        Copy-NetIPsecPhase2AuthSet                         2.0.0.0 
Function        Copy-NetIPsecQuickModeCryptoSet                    2.0.0.0 
Function        Copy-NetIPsecRule                                  2.0.0.0 
Function        D:                                                         
Function        Debug-FileShare                                    2.0.0.0 
Function        Debug-MMAppPrelaunch                               1.0     
Function        Debug-StorageSubSystem                             2.0.0.0 
Function        Debug-Volume                                       2.0.0.0 
Function        Delete-DeliveryOptimizationCache                   1.0.3.0 
Function        Describe                                           3.4.0   
Function        Disable-BC                                         1.0.0.0 
Function        Disable-BCDowngrading                              1.0.0.0 
Function        Disable-BCServeOnBattery                           1.0.0.0 
Function        Disable-BitLocker                                  1.0.0.0 
Function        Disable-BitLockerAutoUnlock                        1.0.0.0 
Function        Disable-DAManualEntryPointSelection                1.0.0.0 
Function        Disable-DeliveryOptimizationVerboseLogs            1.0.3.0 
Function        Disable-DscDebug                                   1.1     
Function        Disable-MMAgent                                    1.0     
Function        Disable-NetAdapter                                 2.0.0.0 
Function        Disable-NetAdapterBinding                          2.0.0.0 
Function        Disable-NetAdapterChecksumOffload                  2.0.0.0 
Function        Disable-NetAdapterEncapsulatedPacketTaskOffload    2.0.0.0 
Function        Disable-NetAdapterIPsecOffload                     2.0.0.0 
Function        Disable-NetAdapterLso                              2.0.0.0 
Function        Disable-NetAdapterPacketDirect                     2.0.0.0 
Function        Disable-NetAdapterPowerManagement                  2.0.0.0 
Function        Disable-NetAdapterQos                              2.0.0.0 
Function        Disable-NetAdapterRdma                             2.0.0.0 
Function        Disable-NetAdapterRsc                              2.0.0.0 
Function        Disable-NetAdapterRss                              2.0.0.0 
Function        Disable-NetAdapterSriov                            2.0.0.0 
Function        Disable-NetAdapterUro                              2.0.0.0 
Function        Disable-NetAdapterUso                              2.0.0.0 
Function        Disable-NetAdapterVmq                              2.0.0.0 
Function        Disable-NetDnsTransitionConfiguration              1.0.0.0 
Function        Disable-NetFirewallHyperVRule                      2.0.0.0 
